Scenario 1 — Listed on eBay only,,,,,,,
,,,,,,,
Step 1. POST /listings (eBay selected),,,,,,,
,,,,,,,
listings,,,,,,,
listingId,sellerId,title,description,price,createdAt,updatedAt,
listing-001,seller-001,MacBook Pro,2023 model,1500000,2026-04-24T10:00:00Z,2026-04-24T10:00:00Z,
,,,,,,,
marketplace_listings,,,,,,,
listingId,marketplaceId,status,externalListingId,publishedAt,failReason,createdAt,updatedAt
listing-001,ebay,PENDING,null,null,null,2026-04-24T10:00:00Z,2026-04-24T10:00:00Z
,,,,,,,
activity_events,,,,,,,
listingId,eventId,marketplaceId,timestamp,eventType,data,,
(empty),,,,,,,
,,,,,,,
,,,,,,,
Step 2. Webhook received — publish_success (eBay),,,,,,,
status: PENDING → PUBLISHED. externalListingId and publishedAt are set.,,,,,,,
,,,,,,,
listings (no change),,,,,,,
listingId,sellerId,title,description,price,createdAt,updatedAt,
listing-001,seller-001,MacBook Pro,2023 model,1500000,2026-04-24T10:00:00Z,2026-04-24T10:00:00Z,
,,,,,,,
marketplace_listings (status / externalListingId / publishedAt / updatedAt updated),,,,,,,
listingId,marketplaceId,status,externalListingId,publishedAt,failReason,createdAt,updatedAt
listing-001,ebay,PUBLISHED,mock-a1b2c3d4,2026-04-24T10:05:00Z,null,2026-04-24T10:00:00Z,2026-04-24T10:05:00Z
,,,,,,,
activity_events (row added),,,,,,,
listingId,eventId,marketplaceId,timestamp,eventType,data,,
listing-001,evt-001,ebay,2026-04-24T10:05:00Z,publish_success,"{""externalListingId"":""mock-a1b2c3d4""}",,
,,,,,,,
,,,,,,,
Step 3. Webhook received — item_sold (eBay) [manual trigger],,,,,,,
marketplace_listings status does not change.,,,,,,,
,,,,,,,
listings (no change),,,,,,,
listingId,sellerId,title,description,price,createdAt,updatedAt,
listing-001,seller-001,MacBook Pro,2023 model,1500000,2026-04-24T10:00:00Z,2026-04-24T10:00:00Z,
,,,,,,,
marketplace_listings (no change),,,,,,,
listingId,marketplaceId,status,externalListingId,publishedAt,failReason,createdAt,updatedAt
listing-001,ebay,PUBLISHED,mock-a1b2c3d4,2026-04-24T10:05:00Z,null,2026-04-24T10:00:00Z,2026-04-24T10:05:00Z
,,,,,,,
activity_events (row added),,,,,,,
listingId,eventId,marketplaceId,timestamp,eventType,data,,
listing-001,evt-001,ebay,2026-04-24T10:05:00Z,publish_success,"{""externalListingId"":""mock-a1b2c3d4""}",,
listing-001,evt-002,ebay,2026-04-24T10:10:00Z,item_sold,"{""buyerName"":""Test Buyer"",""salePrice"":1500000,""transactionId"":""txn-001""}",,
,,,,,,,
,,,,,,,
Step 4. Webhook received — new_comment (eBay) [manual trigger],,,,,,,
marketplace_listings status does not change.,,,,,,,
,,,,,,,
listings (no change),,,,,,,
